,Key Communities,Latitude,Longitude
119,Morgan Hill,37.1305012,-121.6543901
120,Cool,38.8880247,-121.016225
121,Bodega Bay,38.33325,-123.0480571
122,Fortuna,40.5981867,-124.1572756
123,Santa Cruz,36.9741171,-122.0307963
124,Capitola,36.9752283,-121.953293
125,Antioch,38.0049214,-121.805789
126,Cotati,38.3293416,-122.7096666
127,Loomis,38.8212889,-121.1930041
128,Chinese Camp,37.87103810000001,-120.4332511
129,Camptonville,39.4521323,-121.048598
130,Pinecrest,38.1923581,-119.9946131
131,Big Bend,41.0207132,-121.911107
132,Montgomery,39.23361,-123.38861
133,Coloma,38.7999214,-120.8902916
134,Potter Valley,39.3221089,-123.113059
135,Davis,38.5449065,-121.7405167
136,Jamestown,37.9532584,-120.4226952
137,Red Bluff,40.1784886,-122.2358302
138,Honeydew,40.2432341,-124.1230133
139,Chicago Park,39.1452192,-120.9670498
140,Rescue,38.7148404,-120.9528258
141,Kenwood,38.4137198,-122.545828
142,Angwin,38.5757402,-122.4499796
143,Marysville,39.1457253,-121.5913547
144,Sonoma,38.291859,-122.4580356
145,El Verano,38.2976922,-122.491648
146,Corte Madera,37.9254806,-122.5274755
147,Long Barn,38.0929762,-120.1343539
148,Arnold,38.2554729,-120.3510307
149,Lakehead,40.90515,-122.3791777
150,Norden,39.3173556,-120.354182
151,Elk Grove,38.4087993,-121.3716178
152,Emigrant Gap,39.296845,-120.6727122
153,Paskenta,39.8845702,-122.5464131
154,Boonville,39.0089749,-123.3671551
155,Ukiah,39.1501709,-123.2077831
156,El Sobrante,37.9771452,-122.2952474
157,Manton,40.4351568,-121.8699903
158,Pioneer,38.4318551,-120.5718719
159,Glencoe,38.3540801,-120.5849283
160,Patterson,37.4716001,-121.129656
161,Platina,40.3595937,-122.894741
162,Blue Lake,40.8829072,-123.9839488
163,Big Bar,40.7400047,-123.2513523
164,Gridley,39.3637773,-121.6935833
165,Bear Valley,38.4646337,-120.0399088
166,Aukum,38.5569154,-120.7262946
167,Cameron Park,38.6687929,-120.9871643
168,Windsor,38.5471327,-122.8163802
169,Half Moon Bay,37.4635519,-122.4285862
170,Lucerne,39.0901708,-122.7963806
171,Apex,38.72694,-120.82222
172,Big Trees,38.2775,-120.30944
173,Colfax,39.1007298,-120.9532759
174,Cape Horn,39.1290634,-120.9246638
175,Big Oak Valley,39.2010184,-121.2909846
176,Upper Lake,39.1646129,-122.9105515
177,Dales,40.314327,-122.070221
178,Woodside,37.4299388,-122.2538557
179,Martinez,38.0193657,-122.1341321
180,Belvedere,37.8727044,-122.4644171
181,Auberry,37.0807823,-119.4854113
182,Broadmoor,37.6913628,-122.4807659
183,San Mateo,37.5629917,-122.3255254
184,Hillsborough,37.5741032,-122.3794163
185,Catheys,37.4319861,-120.0985207
186,Belmont,37.5202145,-122.2758008
187,Boulder,37.12605780000001,-122.1221869
188,Trinidad,41.05929099999999,-124.1431246
189,Caspar,39.3649223,-123.8144752
190,Brentwood,37.931868,-121.6957863
191,Browns,46.8305247,-71.3001678
192,Nevada City,39.2615606,-121.0160594
193,Storrie,39.9173852,-121.3232992
194,Quincy,39.9368363,-120.9471764
195,Redwood,37.48521520000001,-122.2363548
196,Soledad,36.424687,-121.3263187
197,Gonzales,36.5066295,-121.4443806
198,Burlingame,37.5778696,-122.34809
199,Vallejo,38.1040864,-122.2566367
200,Watsonville,36.910231,-121.7568946
201,Hayward,37.6687665,-122.0809964
202,Cameron,35.09667,-118.29667
203,Ione,38.3526912,-120.9327177
204,Clayton,37.9410341,-121.9357925
205,Alamo,37.8502032,-122.032184
206,Bass Lake,37.3366179,-119.5794383
207,Coarsegold,37.2621686,-119.7009834
208,Burson,38.1838079,-120.8904938
209,Farmington,37.929925,-121.0002168
210,Williams,39.1546137,-122.1494187
211,Dillon Beach,38.2507515,-122.9652768
212,Covelo,39.7929324,-123.2480687
213,Diamond,38.0215875,-121.8932918
214,Kensington,37.9104805,-122.2802471
215,El Cerrito,37.9161326,-122.310765
216,Grizzly Flats,38.6361156,-120.5276331
217,Pollock Pines,38.7612923,-120.5865935
218,Elk Creek,39.6050699,-122.5398032
219,Albion,39.2232406,-123.7680598
220,Redwood City,37.48521520000001,-122.2363548
221,Samoa,40.8187372,-124.1864517
222,Crockett,38.0524208,-122.2130236
223,Foresthill,39.0201768,-120.8179891
224,Fort Bragg,39.445723,-123.8052935
225,Cazadero,38.5332335,-123.0852853
226,Hercules,38.0171441,-122.2885808
227,Whiskeytown,40.6387601,-122.5597373
228,Miranda,40.2344821,-123.8243505
229,Salinas,36.6777372,-121.6555013
230,Point Arena,38.908798,-123.6930726
231,Gerber,40.0562678,-122.1502688
232,Chualar,36.5705171,-121.5185514
233,Freedom,36.938468,-121.8021647
234,Greenbrae,37.9476326,-122.5252604
235,Gualala,38.7722996,-123.5340084
236,Half Moon,37.4635519,-122.4285862
237,American,36.778261,-119.4179324
238,Hollister,36.8524545,-121.4016021
239,Paicines,36.7289127,-121.2788708
240,Novato,38.1074198,-122.5697032
241,El Portal,37.67465139999999,-119.7840609
242,Feather Falls,39.5932207,-121.2563504
243,Pittsburg,38.0279762,-121.8846806
244,Walnut Creek,37.9100783,-122.0651819
245,Lamont,35.2596833,-118.9142666
246,San Rafael,37.9735346,-122.5310874
247,Nicasio,38.06170950000001,-122.6991484
248,Cummings,39.830879,-123.631104
249,Branscomb,39.653491,-123.6255723
250,Los Altos,37.3852183,-122.1141298
251,Glenhaven,39.0281186,-122.7357829
252,Kneeland,40.7646602,-123.997726
253,Sutter Creek,38.3929675,-120.8024357
254,Plesant Hill,37.9479786,-122.0607963
255,Middletown,38.7524045,-122.6149853
256,Forestville,38.4735237,-122.8902721
257,Sebastopol,38.4021359,-122.8238806
258,Bodega,38.3454326,-122.9738259
259,Camp Meeker,38.425192,-122.9594422
260,Guerneville,38.5018575,-122.9961102
261,Lake,39.05819049999999,-122.831015
262,Alton,40.545834,-124.1400759
263,Dublin,37.7159396,-121.9101221
264,Ahwahnee,37.3651749,-119.726218
265,Oakhurst,37.3279997,-119.6493154
266,Inverness,38.1010337,-122.8569377
267,Palo Cedro,40.5637631,-122.2388916
268,Butte,39.6253952,-121.5370003
269,Pacifica,37.6138253,-122.4869194
270,Copperopolis,37.9810358,-120.6418716
271,Comptche,39.2646413,-123.5913484
272,Round,37.9887362,-122.3110617
273,Manchester,38.9699164,-123.6869288
274,Potter,39.3221089,-123.113059
275,Winters,38.5249065,-121.9708017
276,Tuttletown,37.99165,-120.4608
277,Pleasanton,37.6604484,-121.8757968
278,Danville,37.8215929,-121.9999606
279,Korbel,40.8704078,-123.9583922
280,Aromas,36.8885646,-121.6430011
281,North Fork,37.2293678,-119.5094012
282,Kentfield,37.9521465,-122.5571997
283,San Quentin,37.9413246,-122.484704
284,Fairfax,37.9871454,-122.5888686
285,Saratoga,37.2638324,-122.0230146
286,Sausalito,37.8590937,-122.4852507
287,Daly City,37.6879241,-122.4702079
288,Shingle,38.6691362,-120.9359987
289,Rutherford,38.45910120000001,-122.4225638
290,San Bruno,37.6304904,-122.4110835
291,Cold Springs,38.162418,-120.053241
292,Soda Springs,39.3232377,-120.3799251
293,San Ramon,37.7643595,-121.9539616
294,Lebec,34.8416435,-118.8648189
295,Mckinleyville,40.94651520000001,-124.1006205
296,Vina,39.9325521,-122.0541313
297,Shingletown,40.4923784,-121.8891586
298,Wheatland,39.0098946,-121.4230133
299,Willits,39.4096079,-123.3555656
300,Willow Creek,40.9395774,-123.6314412
301,Burnt Ranch,40.8090268,-123.4742085
302,Bay Point,38.0290872,-121.9616274
303,Forest,39.490349,-120.849228
304,Portola,39.8104567,-120.4691034
305,Friant,36.9877274,-119.7118118
306,Willows,39.5243265,-122.1935931
307,Oak Run,40.6851543,-122.0247203
